step,node,prev,new,entropy,time
4,31,6,1,6.438310e-01,-3.982155e+42
4,32,1,0,9.685745e-01,-4.236305e+42
4,33,4,3,7.265901e-01,-4.285960e+42
4,34,0,8,6.397238e-01,-3.883154e+42
4,35,5,6,3.484993e-01,-3.776148e+42
4,36,8,8,3.415314e-02,-3.797244e+42
4,37,1,1,6.438310e-01,-3.669469e+42
4,38,0,6,4.556924e-01,-4.351616e+42
4,39,3,8,3.415314e-02,-4.013657e+42
4,40,1,6,3.484993e-01,-4.153552e+42
4,41,1,6,3.484993e-01,-4.222412e+42
4,42,7,3,9.563612e-01,-3.887950e+42
4,43,4,0,9.685745e-01,-3.836690e+42
4,44,3,3,9.563612e-01,-3.741859e+42
4,45,6,1,1.359632e-01,-3.695316e+42
4,46,0,5,8.553371e-01,-3.984626e+42
4,47,7,5,6.852702e-01,-4.358420e+42
4,48,3,0,8.262570e-02,-3.904473e+42
4,49,1,3,7.265901e-01,-4.071348e+42
5,0,0,4,6.550726e-01,-4.856192e+42
5,1,0,0,2.591584e-01,-4.939106e+42
5,2,0,5,1.665257e-02,-5.183251e+42
5,3,6,5,9.760830e-01,-4.770337e+42
5,4,3,6,7.187856e-01,-5.197119e+42
5,5,8,5,9.760830e-01,-4.556458e+42
5,6,0,5,1.665257e-02,-5.041711e+42
5,7,1,3,9.760148e-01,-5.007970e+42
5,8,7,5,5.542332e-01,-5.494776e+42
5,9,3,0,3.370945e-01,-4.512544e+42
5,10,6,3,9.265129e-01,-4.925740e+42
5,11,8,5,1.665257e-02,-4.895070e+42
5,12,8,5,5.392787e-01,-5.436278e+42
5,13,5,0,4.412156e-01,-4.604829e+42
5,14,0,2,2.318647e-01,-4.721630e+42
5,15,5,7,5.440319e-01,-4.722834e+42
5,16,0,3,9.265129e-01,-4.618090e+42
5,17,6,0,4.412156e-01,-4.820008e+42
5,18,6,5,9.760830e-01,-5.240056e+42
5,19,5,5,5.392787e-01,-5.201620e+42
5,20,8,5,5.392787e-01,-4.822219e+42
5,21,5,0,1.753893e-01,-5.401302e+42
5,22,5,4,8.403904e-01,-4.636652e+42
5,23,0,6,8.738826e-01,-5.026010e+42
5,24,5,7,4.833474e-01,-4.991620e+42
5,25,2,3,2.346795e-01,-4.749683e+42
5,26,8,1,5.308463e-01,-4.849193e+42
5,27,3,4,4.445453e-01,-5.399051e+42
5,28,5,0,3.370945e-01,-4.781288e+42
5,29,6,0,3.370945e-01,-5.431246e+42
5,30,6,4,4.445453e-01,-4.759138e+42
5,31,1,4,8.403904e-01,-4.977694e+42
5,32,0,4,8.403904e-01,-5.295381e+42
5,33,3,7,1.497557e-01,-5.357451e+42
5,34,8,0,2.576357e-01,-4.853942e+42
5,35,6,8,7.192566e-01,-4.720185e+42
5,36,8,5,9.760830e-01,-4.746555e+42
5,37,1,3,9.760148e-01,-4.586837e+42
5,38,6,5,9.760830e-01,-5.439520e+42
5,39,8,0,3.370945e-01,-5.017071e+42
5,40,6,7,7.725906e-01,-5.191940e+42
5,41,6,3,5.714620e-01,-5.278015e+42
5,42,3,4,8.403904e-01,-4.859938e+42
5,43,0,6,7.187856e-01,-4.795863e+42
5,44,3,7,1.497557e-01,-4.677323e+42
5,45,1,7,1.497557e-01,-4.619145e+42
5,46,5,5,5.542332e-01,-4.980783e+42
5,47,5,8,7.192566e-01,-5.448024e+42
5,48,0,7,5.440319e-01,-4.880591e+42
5,49,3,1,5.308463e-01,-5.089185e+42
6,0,4,6,7.484605e-01,-5.827431e+42
6,1,0,4,5.156051e-01,-5.926927e+42
6,2,5,3,7.500878e-01,-6.219901e+42
6,3,5,6,7.484605e-01,-5.724405e+42
6,4,6,4,7.704203e-01,-6.236543e+42
6,5,5,7,3.436067e-01,-5.467749e+42
6,6,5,7,5.490358e-01,-6.050053e+42
6,7,3,6,2.481005e-01,-6.009564e+42
6,8,5,3,7.500878e-01,-6.593732e+42
6,9,0,6,2.481005e-01,-5.415053e+42
6,10,3,7,8.727573e-01,-5.910888e+42
6,11,5,7,3.436067e-01,-5.874084e+42
6,12,5,6,3.977367e-01,-6.523534e+42
6,13,0,8,8.488186e-02,-5.525795e+42
6,14,2,7,5.228397e-01,-5.665956e+42
6,15,7,2,2.426297e-01,-5.667400e+42
6,16,3,6,7.484605e-01,-5.541708e+42
6,17,0,3,3.654020e-01,-5.784010e+42
6,18,5,6,2.481005e-01,-6.288067e+42
6,19,5,3,3.654020e-01,-6.241944e+42
6,20,5,3,1.450233e-01,-5.786663e+42
6,21,0,4,7.704203e-01,-6.481562e+42
6,22,4,7,8.727573e-01,-5.563982e+42
6,23,6,3,7.500878e-01,-6.031212e+42
6,24,7,3,3.654020e-01,-5.989944e+42
6,25,3,2,2.426297e-01,-5.699620e+42
6,26,1,3,1.037106e-01,-5.819032e+42
